&#1269;	CYRILLIC SMALL LETTER CHE WITH DIAERESIS	
&#1270;	CYRILLIC CAPITAL LETTER GHE WITH DESCENDER	
&#1271;	CYRILLIC SMALL LETTER GHE WITH DESCENDER	
&#1272;	CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS	
&#1273;	CYRILLIC SMALL LETTER YERU WITH DIAERESIS	
&#1274;	CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK	
&#1275;	CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK	
&#1276;	CYRILLIC CAPITAL LETTER HA WITH HOOK	
&#1277;	CYRILLIC SMALL LETTER HA WITH HOOK	
&#1278;	CYRILLIC CAPITAL LETTER HA WITH STROKE	
&#1279;	CYRILLIC SMALL LETTER HA WITH STROKE	
&#1280;	CYRILLIC CAPITAL LETTER KOMI DE	
&#1281;	CYRILLIC SMALL LETTER KOMI DE	
&#1282;	CYRILLIC CAPITAL LETTER KOMI DJE	
&#1283;	CYRILLIC SMALL LETTER KOMI DJE	
&#1284;	CYRILLIC CAPITAL LETTER KOMI ZJE	
&#1285;	CYRILLIC SMALL LETTER KOMI ZJE	
&#1286;	CYRILLIC CAPITAL LETTER KOMI DZJE	
&#1287;	CYRILLIC SMALL LETTER KOMI DZJE	
&#1288;	CYRILLIC CAPITAL LETTER KOMI LJE	
&#1289;	CYRILLIC SMALL LETTER KOMI LJE	
&#1290;	CYRILLIC CAPITAL LETTER KOMI NJE	
&#1291;	CYRILLIC SMALL LETTER KOMI NJE	
&#1292;	CYRILLIC CAPITAL LETTER KOMI SJE	
&#1293;	CYRILLIC SMALL LETTER KOMI SJE	
&#1294;	CYRILLIC CAPITAL LETTER KOMI TJE	
&#1295;	CYRILLIC SMALL LETTER KOMI TJE	
&#1296;	CYRILLIC CAPITAL LETTER REVERSED ZE	
&#1297;	CYRILLIC SMALL LETTER REVERSED ZE	
&#1298;	CYRILLIC CAPITAL LETTER EL WITH HOOK	
&#1299;	CYRILLIC SMALL LETTER EL WITH HOOK	
&#1300;	CYRILLIC CAPITAL LETTER LHA	
&#1301;	CYRILLIC SMALL LETTER LHA	
&#1302;	CYRILLIC CAPITAL LETTER RHA	
&#1303;	CYRILLIC SMALL LETTER RHA	
&#1304;	CYRILLIC CAPITAL LETTER YAE	
&#1305;	CYRILLIC SMALL LETTER YAE	
